Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1989","1989","kg","112.75","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1990","1990","kg","112.69","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1991","1991","kg","114.27","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1992","1992","kg","117.41","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1993","1993","kg","116.48","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1994","1994","kg","119","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1995","1995","kg","118.13","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1996","1996","kg","117.85","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1997","1997","kg","116.88","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1998","1998","kg","120.4","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","1999","1999","kg","123.81","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2000","2000","kg","121.68","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2001","2001","kg","120.78","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2002","2002","kg","124.39","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2003","2003","kg","123.17","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2004","2004","kg","125.76","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2005","2005","kg","125.3","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2006","2006","kg","125.53","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2007","2007","kg","125.47","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2008","2008","kg","122.61","Fc","Calculated data"
"FBS","Food Balance Sheets","231","United States of America","645","Food supply quantity (kg/capita/yr)","2943","Meat","2009","2009","kg","118.7","Fc","Calculated data"
